no,name,category,status,start_time,end_time
1,Single Responsibility Principle,SOLID Principle,done,,
2,Open-Closed Principle,SOLID Principle,done,2026-06-07 08:28:38,2026-06-07 09:46:49
3,Liskov Substitution Principle,SOLID Principle,done,2026-06-08 03:00:01,2026-06-08 04:15:58
4,Interface Segregation Principle,SOLID Principle,done,2026-06-07 07:12:37,2026-06-07 08:29:05
5,Dependency Inversion Principle,SOLID Principle,done,2026-06-08 06:47:48,2026-06-08 08:07:59
6,Factory Method,GoF Creational,done,,
7,Abstract Factory,GoF Creational,done,2026-06-09 03:00:01,2026-06-09 04:21:33
8,Builder,GoF Creational,done,2026-06-10 02:00:01,2026-06-10 04:09:20
9,Prototype,GoF Creational,done,2026-06-10 04:00:01,2026-06-10 06:11:19
10,Singleton,GoF Creational,done,,
11,Adapter,GoF Structural,done,2026-06-11 01:00:01,2026-06-11 02:06:54
12,Bridge,GoF Structural,done,2026-06-11 03:00:01,2026-06-11 04:21:53
13,Composite,GoF Structural,done,2026-06-11 05:00:01,2026-06-11 06:17:01
14,Decorator,GoF Structural,,,
15,Facade,GoF Structural,,,
16,Flyweight,GoF Structural,,,
17,Proxy,GoF Structural,,,
18,Chain of Responsibility,GoF Behavioral,,,
19,Command,GoF Behavioral,,,
20,Interpreter,GoF Behavioral,,,
21,Iterator,GoF Behavioral,,,
22,Mediator,GoF Behavioral,,,
23,Memento,GoF Behavioral,,,
24,Observer,GoF Behavioral,done,,
25,State,GoF Behavioral,,,
26,Strategy,GoF Behavioral,done,,
27,Template Method,GoF Behavioral,,,
28,Visitor,GoF Behavioral,,,
29,Model-View-Controller (MVC),Architectural,,,
30,Model-View-Presenter (MVP),Architectural,,,
31,Model-View-ViewModel (MVVM),Architectural,,,
32,Layered Architecture,Architectural,,,
33,Microkernel,Architectural,,,
34,Broker,Architectural,,,
35,Pipe-Filter,Architectural,,,
36,Blackboard,Architectural,,,
37,Event-Driven Architecture,Architectural,,,
38,Hexagonal Architecture,Architectural,,,
39,Clean Architecture,Architectural,,,
40,Strangler Fig,Architectural,,,
41,Active Object,Concurrency,,,
42,Monitor Object,Concurrency,,,
43,Thread Pool,Concurrency,,,
44,Producer-Consumer,Concurrency,,,
45,Read-Write Lock,Concurrency,,,
46,Double-Checked Locking,Concurrency,,,
47,Future and Promise,Concurrency,,,
48,Guarded Suspension,Concurrency,,,
49,Balking,Concurrency,,,
50,Repository,Enterprise,,,
51,Unit of Work,Enterprise,,,
52,Data Mapper,Enterprise,,,
53,Active Record,Enterprise,,,
54,Identity Map,Enterprise,,,
55,Lazy Load,Enterprise,,,
56,Data Transfer Object,Enterprise,,,
57,Service Layer,Enterprise,,,
58,Front Controller,Enterprise,,,
59,Specification,Enterprise,,,
60,Domain Model,Enterprise,,,
61,Transaction Script,Enterprise,,,
62,Dependency Injection,Dependency Management,,,
63,Service Locator,Dependency Management,,,
64,Object Pool,Object Creational,,,
65,Multiton,Object Creational,,,
66,Lazy Initialization,Object Creational,,,
67,Monostate,Object Creational,,,
68,Null Object,Object Behavioral,,,
69,Publish-Subscribe,Messaging,,,
70,Dead Letter Queue,Messaging,,,
71,Competing Consumers,Messaging,,,
72,Idempotent Consumer,Messaging,,,
73,Queue-Based Load Leveling,Messaging,,,
74,Claim Check,Messaging,,,
75,Circuit Breaker,Resilience,,,
76,Retry,Resilience,,,
77,Bulkhead,Resilience,,,
78,Rate Limiting,Resilience,,,
79,Cache-Aside,Data Architecture,,,
80,Materialized View,Data Architecture,,,
81,CQRS,Distributed Architecture,,,
82,Event Sourcing,Distributed Architecture,,,
83,Saga,Distributed Architecture,,,
84,API Gateway,Distributed Architecture,,,
85,Backend for Frontend,Distributed Architecture,,,
86,Transactional Outbox,Distributed Architecture,,,
87,Leader Election,Distributed Architecture,,,
88,Sidecar,Distributed Architecture,,,
89,Ambassador,Distributed Architecture,,,
90,Distributed Lock,Distributed Architecture,,,
91,Service Discovery,Distributed Architecture,,,
92,Database per Service,Distributed Architecture,,,
93,Health Endpoint Monitoring,Distributed Architecture,,,
94,Anti-Corruption Layer,Domain-Driven Design,,,
95,Aggregate,Domain-Driven Design,,,
96,Domain Event,Domain-Driven Design,,,
97,Value Object,Domain-Driven Design,,,
98,Entity,Domain-Driven Design,,,
99,Bounded Context,Domain-Driven Design,,,
100,RAII,Programming Idiom,,,
101,Sharding,Data Technique,,,
