no,name,category,status,start_time,end_time
1,Enterprise Architecture Overview,EA Concept,,,
2,ArchiMate Language Overview,ArchiMate Core,,,
3,ArchiMate Core Framework,ArchiMate Core,,,
4,ArchiMate Generic Metamodel,ArchiMate Core,,,
5,ArchiMate Relationships,ArchiMate Core,,,
6,ArchiMate Strategy Layer,ArchiMate Layer,,,
7,ArchiMate Business Layer,ArchiMate Layer,,,
8,ArchiMate Application Layer,ArchiMate Layer,,,
9,ArchiMate Technology Layer,ArchiMate Layer,,,
10,ArchiMate Physical Elements,ArchiMate Layer,,,
11,ArchiMate Motivation Layer,ArchiMate Layer,,,
12,ArchiMate Implementation and Migration Layer,ArchiMate Layer,,,
13,ArchiMate Viewpoints Overview,ArchiMate Viewpoint,,,
14,Capability Map Viewpoint,ArchiMate Viewpoint,,,
15,Business Process Cooperation Viewpoint,ArchiMate Viewpoint,,,
16,Application Cooperation Viewpoint,ArchiMate Viewpoint,,,
17,Layered Viewpoint,ArchiMate Viewpoint,,,
18,Service Realization Viewpoint,ArchiMate Viewpoint,,,
19,TOGAF Overview,TOGAF,,,
20,TOGAF Documentation Structure,TOGAF,,,
21,TOGAF Architecture Development Method (ADM),TOGAF,,,
22,TOGAF ADM Guidelines and Techniques,TOGAF,,,
23,TOGAF Architecture Content Framework,TOGAF,,,
24,TOGAF Deliverables Artifacts and Building Blocks,TOGAF,,,
25,TOGAF Building Blocks (ABB and SBB),TOGAF,,,
26,TOGAF Enterprise Continuum,TOGAF,,,
27,TOGAF Architecture Repository,TOGAF,,,
28,TOGAF Reference Models (TRM and III-RM),TOGAF,,,
29,TOGAF Architecture Capability Framework,TOGAF,,,
30,TOGAF Architecture Governance,TOGAF,,,
31,ADM Preliminary Phase,TOGAF ADM Phase,,,
32,ADM Phase A Architecture Vision,TOGAF ADM Phase,,,
33,ADM Phase B Business Architecture,TOGAF ADM Phase,,,
34,ADM Phase C Information Systems Architectures,TOGAF ADM Phase,,,
35,ADM Phase D Technology Architecture,TOGAF ADM Phase,,,
36,ADM Phase E Opportunities and Solutions,TOGAF ADM Phase,,,
37,ADM Phase F Migration Planning,TOGAF ADM Phase,,,
38,ADM Phase G Implementation Governance,TOGAF ADM Phase,,,
39,ADM Phase H Architecture Change Management,TOGAF ADM Phase,,,
40,ADM Requirements Management,TOGAF ADM Phase,,,
41,Zachman Framework,EA Framework,,,
