no,name,category,status,start_time,end_time
1,Classes and Objects,OOP Basics,,,
2,Fields and Methods,OOP Basics,,,
3,Constructors,OOP Basics,,,
4,Constructor Overloading,OOP Basics,,,
5,The this Keyword,OOP Basics,,,
6,Method Overloading,OOP Basics,,,
7,Static Members,OOP Basics,,,
8,The final Keyword,OOP Basics,,,
9,Packages and Imports,OOP Basics,,,
10,Initialization Blocks,OOP Basics,,,
11,Access Modifiers,Encapsulation,,,
12,Encapsulation,Encapsulation,,,
13,Getters and Setters,Encapsulation,,,
14,Immutable Objects,Encapsulation,,,
15,Inheritance,Inheritance,,,
16,The extends Keyword,Inheritance,,,
17,The super Keyword,Inheritance,,,
18,Method Overriding,Inheritance,,,
19,Constructor Chaining,Inheritance,,,
20,Composition over Inheritance,Inheritance,,,
21,Polymorphism,Polymorphism,,,
22,Upcasting and Downcasting,Polymorphism,,,
23,The instanceof Operator,Polymorphism,,,
24,Dynamic Method Dispatch,Polymorphism,,,
25,Abstraction,Abstraction,,,
26,Abstract Classes,Abstraction,,,
27,Interfaces,Abstraction,,,
28,Default Methods,Abstraction,,,
29,Static Methods in Interfaces,Abstraction,,,
30,Multiple Interface Inheritance,Abstraction,,,
31,Functional Interfaces,Abstraction,,,
32,The Object Class,Advanced Classes,,,
33,The toString Method,Advanced Classes,,,
34,equals and hashCode,Advanced Classes,,,
35,Nested Classes,Advanced Classes,,,
36,Inner Classes,Advanced Classes,,,
37,Static Nested Classes,Advanced Classes,,,
38,Anonymous Classes,Advanced Classes,,,
39,Local Classes,Advanced Classes,,,
40,Enums,Advanced Classes,,,
41,Records,Advanced Classes,,,
42,Sealed Classes,Advanced Classes,,,
43,Generics Basics,Generics,,,
44,Generic Classes,Generics,,,
45,Generic Methods,Generics,,,
46,Bounded Type Parameters,Generics,,,
47,Wildcards,Generics,,,
48,Lambda Expressions,Functional Java,,,
49,Method References,Functional Java,,,
50,Comparable and Comparator,Functional Java,,,
51,Exception Handling,Core Object Behavior,,,
52,Custom Exceptions,Core Object Behavior,,,
53,Object Cloning,Core Object Behavior,,,
54,Garbage Collection,Core Object Behavior,,,
55,Varargs,Core Object Behavior,,,
