no,name,category,status,start_time,end_time
1,TOGAF Introduction,TOGAF Fundamentals,,,
2,What is Enterprise Architecture,TOGAF Fundamentals,,,
3,TOGAF Architecture Domains,TOGAF Fundamentals,,,
4,Architecture Building Blocks,TOGAF Fundamentals,,,
5,Solution Building Blocks,TOGAF Fundamentals,,,
6,Stakeholders Concerns and Views,TOGAF Fundamentals,,,
7,Architecture Views and Viewpoints,TOGAF Fundamentals,,,
8,Enterprise vs Solution Architecture,TOGAF Fundamentals,,,
9,ADM Overview,ADM Phases,,,
10,Preliminary Phase,ADM Phases,,,
11,Phase A Architecture Vision,ADM Phases,,,
12,Phase B Business Architecture,ADM Phases,,,
13,Phase C Data Architecture,ADM Phases,,,
14,Phase C Application Architecture,ADM Phases,,,
15,Phase D Technology Architecture,ADM Phases,,,
16,Phase E Opportunities and Solutions,ADM Phases,,,
17,Phase F Migration Planning,ADM Phases,,,
18,Phase G Implementation Governance,ADM Phases,,,
19,Phase H Architecture Change Management,ADM Phases,,,
20,Requirements Management,ADM Phases,,,
21,Architecture Principles,ADM Guidelines and Techniques,,,
22,Stakeholder Management,ADM Guidelines and Techniques,,,
23,Business Scenarios,ADM Guidelines and Techniques,,,
24,Gap Analysis,ADM Guidelines and Techniques,,,
25,Interoperability Requirements,ADM Guidelines and Techniques,,,
26,Business Transformation Readiness Assessment,ADM Guidelines and Techniques,,,
27,Risk Management,ADM Guidelines and Techniques,,,
28,Capability-Based Planning,ADM Guidelines and Techniques,,,
29,Migration Planning Techniques,ADM Guidelines and Techniques,,,
30,Applying Iteration to the ADM,ADM Guidelines and Techniques,,,
31,Architecture Partitioning,ADM Guidelines and Techniques,,,
32,Security Architecture and the ADM,ADM Guidelines and Techniques,,,
33,Content Framework Overview,Architecture Content Framework,,,
34,Architecture Deliverables,Architecture Content Framework,,,
35,Artifacts Catalogs Matrices Diagrams,Architecture Content Framework,,,
36,Statement of Architecture Work,Architecture Content Framework,,,
37,Architecture Vision Document,Architecture Content Framework,,,
38,Architecture Definition Document,Architecture Content Framework,,,
39,Architecture Requirements Specification,Architecture Content Framework,,,
40,Architecture Roadmap,Architecture Content Framework,,,
41,Architecture Contract,Architecture Content Framework,,,
42,Enterprise Continuum,Enterprise Continuum and Repository,,,
43,Architecture Continuum,Enterprise Continuum and Repository,,,
44,Solutions Continuum,Enterprise Continuum and Repository,,,
45,Architecture Repository,Enterprise Continuum and Repository,,,
46,Architecture Landscape,Enterprise Continuum and Repository,,,
47,Standards Information Base,Enterprise Continuum and Repository,,,
48,Reference Library,Enterprise Continuum and Repository,,,
49,Governance Log,Enterprise Continuum and Repository,,,
50,Technical Reference Model,Reference Models,,,
51,Integrated Information Infrastructure Reference Model,Reference Models,,,
52,Architecture Capability Framework Overview,Architecture Capability Framework,,,
53,Architecture Governance,Architecture Capability Framework,,,
54,Architecture Board,Architecture Capability Framework,,,
55,Architecture Compliance,Architecture Capability Framework,,,
56,Architecture Skills Framework,Architecture Capability Framework,,,
57,Architecture Maturity Models,Architecture Capability Framework,,,
58,Establishing an Architecture Capability,Architecture Capability Framework,,,
